qid	label	decl	module	batch	pr	status
Q167	Pi	Real.pi	Mathlib.Analysis.SpecialFunctions.Trigonometric.Basic	1	https://github.com/leanprover-community/mathlib4/pull/40440	bot+catalog-settled
Q11197	Logarithm	Real.log	Mathlib.Analysis.SpecialFunctions.Log.Basic	1	https://github.com/leanprover-community/mathlib4/pull/40440	bot+catalog-settled
Q11352	Angle	InnerProductGeometry.angle	Mathlib.Geometry.Euclidean.Angle.Unoriented.Basic	1	https://github.com/leanprover-community/mathlib4/pull/40440	bot
Q11567	Complex number	Complex	Mathlib.Data.Complex.Basic			external
Q12916	Real number	Real	Mathlib.Data.Real.Basic			external
Q17295	Euclidean space	EuclideanSpace	Mathlib.Analysis.InnerProductSpace.PiL2	4	https://github.com/leanprover-community/mathlib4/pull/40861	bot
Q43260	Polynomial	Polynomial	Mathlib.Algebra.Polynomial.Basic	1	https://github.com/leanprover-community/mathlib4/pull/40440	bot
Q44337	Matrix (mathematics)	Matrix	Mathlib.LinearAlgebra.Matrix.Defs	2	https://github.com/leanprover-community/mathlib4/pull/40682	bot
Q44382		Module.IsPrincipal | Submodule.IsPrincipal	Mathlib.LinearAlgebra.Span.Defs			ambiguous
Q45715	complete graph	SimpleGraph.completeGraph	Mathlib.Combinatorics.SimpleGraph.Basic	3	https://github.com/leanprover-community/mathlib4/pull/40747	bot
Q49008	Prime number	Nat.Prime	Mathlib.Data.Nat.Prime.Defs	1	https://github.com/leanprover-community/mathlib4/pull/40440	bot
Q53875	parallelism	AffineSubspace.Parallel	Mathlib.LinearAlgebra.AffineSpace.AffineSubspace.Basic	3	https://github.com/leanprover-community/mathlib4/pull/40747	bot
Q83478	Group (mathematics)	Group	Mathlib.Algebra.Group.Defs			external
Q104752	Coprime integers	IsCoprime	Mathlib.RingTheory.Coprime.Basic	2	https://github.com/leanprover-community/mathlib4/pull/40682	bot
Q120976	Factorial	Nat.factorial	Mathlib.Data.Nat.Factorial.Basic	1	https://github.com/leanprover-community/mathlib4/pull/40440	bot
Q133871	Normal distribution	ProbabilityTheory.gaussianReal	Mathlib.Probability.Distributions.Gaussian.Real	2	https://github.com/leanprover-community/mathlib4/pull/40682	bot+catalog-mismatch
Q141488	Graph (discrete mathematics)	SimpleGraph	Mathlib.Combinatorics.SimpleGraph.Basic	2	https://github.com/leanprover-community/mathlib4/pull/40682	bot
Q161172	Ring (mathematics)	Ring	Mathlib.Algebra.Ring.Defs			external
Q163875	Cardinal number	Cardinal	Mathlib.SetTheory.Cardinal.Defs	1	https://github.com/leanprover-community/mathlib4/pull/40440	bot
Q168698	Exponential function	Real.exp	Mathlib.Analysis.Complex.Exponential	1	https://github.com/leanprover-community/mathlib4/pull/40440	bot+catalog-settled
Q170058	Continuous function	Continuous	Mathlib.Topology.Defs.Basic	2	https://github.com/leanprover-community/mathlib4/pull/40682	bot
Q175199	Variance	ProbabilityTheory.variance	Mathlib.Probability.Moments.Variance	1	https://github.com/leanprover-community/mathlib4/pull/40440	bot
Q178546	Determinant	Matrix.det	Mathlib.LinearAlgebra.Matrix.Determinant.Basic	1	https://github.com/leanprover-community/mathlib4/pull/40440	bot
Q179208	Cayley's theorem	Equiv.Perm.subgroupOfMulAction	Mathlib.GroupTheory.Perm.Subgroup			external
Q180953	Metric space	MetricSpace	Mathlib.Topology.MetricSpace.Defs	1	https://github.com/leanprover-community/mathlib4/pull/40440	bot
Q181296	Abelian group	CommGroup	Mathlib.Algebra.Group.Defs	1	https://github.com/leanprover-community/mathlib4/pull/40440	bot
