qid	file	line	source_decl	catalog_decl
Q44382	Mathlib/LinearAlgebra/Span/Defs.lean	52	Module.IsPrincipal | Submodule.IsPrincipal	—
Q133871	Mathlib/Probability/Distributions/Gaussian/Real.lean	220	ProbabilityTheory.gaussianReal	gaussianReal
Q189112	Mathlib/CategoryTheory/Iso.lean	52	CategoryTheory.Iso	Iso
Q189136	Mathlib/Analysis/Calculus/Deriv/MeanValue.lean	131	exists_ratio_deriv_eq_ratio_slope	exists_deriv_eq_slope
Q189569	Mathlib/LinearAlgebra/Basis/Defs.lean	89	Module.Basis	Basis
Q190546	Mathlib/Analysis/InnerProductSpace/Basic.lean	281	inner_mul_inner_self_le	norm_inner_le_norm
Q190546	Mathlib/Analysis/InnerProductSpace/Basic.lean	281	inner_mul_inner_self_le	multi-site: see sibling rows
Q190546	Mathlib/LinearAlgebra/SesquilinearForm/Basic.lean	829	LinearMap.BilinForm.apply_mul_apply_le_of_forall_zero_le	norm_inner_le_norm
Q190546	Mathlib/LinearAlgebra/SesquilinearForm/Basic.lean	829	LinearMap.BilinForm.apply_mul_apply_le_of_forall_zero_le	multi-site: see sibling rows
Q192760	Mathlib/Analysis/Complex/Polynomial/Basic.lean	51	Complex.isAlgClosed	Complex.exists_root
Q205692	Mathlib/Probability/Distributions/Poisson/Basic.lean	39	ProbabilityTheory.poissonMeasure	poissonMeasure
Q939927	Mathlib/Topology/ContinuousMap/StoneWeierstrass.lean	264	ContinuousMap.subalgebra_topologicalClosure_eq_top_of_separatesPoints	subalgebra_topologicalClosure_eq_top_of_separatesPoints
Q1052678	Mathlib/Topology/Baire/Lemmas.lean	141	dense_iInter_of_isOpen	dense_sInter_of_isOpen
Q1464168	Mathlib/GroupTheory/Index.lean	55	Subgroup.index | AddSubgroup.index	—
Q6520159	Mathlib/Analysis/Fourier/LpSpace.lean	49	fourierTransformₗ	VectorFourier.fourierIntegral
