module,annotation_count
Mathlib.Analysis.InnerProductSpace.PiL2,68
Mathlib.Algebra.Group.Defs,62
Mathlib.Analysis.Complex.Trigonometric,45
Mathlib.Algebra.QuadraticDiscriminant,42
Mathlib.Geometry.Euclidean.Triangle,38
Mathlib.Probability.Moments.Variance,38
Mathlib.Computability.Primrec.Basic,37
Mathlib.ModelTheory.Basic,37
Mathlib.ModelTheory.Syntax,35
Mathlib.SetTheory.Ordinal.Basic,34
Mathlib.ModelTheory.Satisfiability,33
Mathlib.LinearAlgebra.UnitaryGroup,33
Mathlib.SetTheory.Cardinal.Order,32
Mathlib.Analysis.Calculus.Taylor,29
Mathlib.Geometry.Euclidean.Angle.Unoriented.RightAngle,28
Mathlib.Analysis.Asymptotics.Defs,27
Mathlib.SetTheory.Cardinal.Defs,27
Mathlib.Geometry.Manifold.IsManifold.Basic,26
Mathlib.Analysis.Complex.Exponential,26
Mathlib.LinearAlgebra.Eigenspace.Basic,26
Mathlib.NumberTheory.LSeries.RiemannZeta,25
Mathlib.LinearAlgebra.Dual.Defs,25
Mathlib.Analysis.InnerProductSpace.Basic,24
Mathlib.Topology.UniformSpace.Cauchy,24
Mathlib.LinearAlgebra.Projectivization.Basic,23
Mathlib.NumberTheory.Real.Irrational,23
Mathlib.Data.Set.Defs,23
Mathlib.Tactic.ITauto,23
Mathlib.Algebra.Ring.Defs,22
Mathlib.CategoryTheory.Adjunction.Basic,22
Mathlib.Data.Nat.GCD.Basic,22
Mathlib.Analysis.SpecialFunctions.Log.Basic,22
Mathlib.Data.Nat.Digits.Defs,21
Mathlib.Analysis.InnerProductSpace.Defs,21
Mathlib.Algebra.Group.ForwardDiff,21
Mathlib.Topology.Separation.Hausdorff,21
Mathlib.Topology.MetricSpace.Pseudo.Defs,20
Mathlib.NumberTheory.FLT.Basic,20
Mathlib.Probability.ConditionalProbability,20
Mathlib.Analysis.Real.Cardinality,20
Mathlib.Data.Matrix.Mul,20
Mathlib.Probability.Density,20
Mathlib.Analysis.SpecialFunctions.Log.Base,19
Mathlib.LinearAlgebra.CliffordAlgebra.Basic,19
Mathlib.ModelTheory.Semantics,19
Mathlib.Algebra.GCDMonoid.Basic,19
Mathlib.Logic.Function.Basic,18
Mathlib.Topology.Defs.Basic,18
Mathlib.Analysis.SpecialFunctions.Trigonometric.Basic,18
Mathlib.Probability.Distributions.Gaussian.Real,18
Mathlib.NumberTheory.LegendreSymbol.QuadraticReciprocity,17
Mathlib.Topology.MetricSpace.HausdorffDimension,17
Mathlib.Analysis.Calculus.Deriv.Basic,17
Mathlib.Computability.Partrec,17
Mathlib.Logic.Equiv.Defs,17
Mathlib.Order.LiminfLimsup,17
Mathlib.MeasureTheory.Function.LpSeminorm.Defs,17
Mathlib.Data.Complex.Basic,16
Mathlib.NumberTheory.Real.GoldenRatio,16
Mathlib.Logic.Function.Defs,16
Mathlib.SetTheory.Cardinal.Aleph,16
Mathlib.SetTheory.Cardinal.Continuum,16
Mathlib.Analysis.Convolution,16
Mathlib.Data.Fintype.Pigeonhole,16
Mathlib.Computability.Primrec.List,16
Mathlib.Data.Int.GCD,15
Mathlib.Computability.TuringMachine.PostTuringMachine,15
Mathlib.Topology.Defs.Filter,15
Mathlib.Computability.ContextFreeGrammar,15
Mathlib.Analysis.Convex.Basic,15
Mathlib.NumberTheory.Transcendental.Lindemann.AnalyticalPart,15
Mathlib.Combinatorics.SimpleGraph.Coloring.VertexColoring,15
Mathlib.Topology.Compactification.OnePoint.ProjectiveLine,15
Mathlib.Analysis.InnerProductSpace.SingularValues,15
Mathlib.NumberTheory.PythagoreanTriples,14
Mathlib.MeasureTheory.Measure.Lebesgue.VolumeOfBalls,14
Mathlib.Analysis.ODE.PicardLindelof,14
Mathlib.LinearAlgebra.AffineSpace.AffineMap,14
Mathlib.Algebra.Group.End,14
Mathlib.Order.Lattice,14
Mathlib.Data.Nat.Choose.Basic,14
Mathlib.Analysis.Fourier.FourierTransform,14
Mathlib.GroupTheory.Perm.Sign,14
Mathlib.Analysis.InnerProductSpace.Spectrum,14
Mathlib.Computability.NFA,14
Mathlib.RingTheory.Ideal.Maximal,14
Mathlib.Tactic.Sat.FromLRAT,14
Mathlib.RingTheory.Nullstellensatz,13
Mathlib.RingTheory.Spectrum.Prime.Topology,13
Mathlib.Computability.Halting,13
Mathlib.Data.Ordmap.Ordnode,13
Mathlib.Probability.CentralLimitTheorem,13
Mathlib.Data.Fintype.Card,13
Mathlib.Computability.TuringMachine.Computable,13
Mathlib.LinearAlgebra.Dual.Basis,13
Mathlib.Geometry.Manifold.VectorBundle.CovariantDerivative.Basic,13
Mathlib.Analysis.Calculus.LagrangeMultipliers,13
Mathlib.MeasureTheory.MeasurableSpace.Defs,13
Mathlib.ModelTheory.Definability,13
Mathlib.Data.Matrix.Cartan,13
Mathlib.Analysis.Convex.StdSimplex,13
Mathlib.LinearAlgebra.AffineSpace.Simplex.Basic,12
Mathlib.AlgebraicGeometry.EllipticCurve.Affine.Point,12
Mathlib.Logic.Basic,12
Mathlib.Order.BooleanAlgebra.Defs,12
Mathlib.Analysis.Calculus.LocalExtr.Basic,12
